date,SPY,TLT,GLD,BTC-USD
2020-01-02,296.888214,113.746498,143.949997,6985.470215
2020-01-03,294.639954,115.498184,145.860001,7344.884277
2020-01-06,295.764191,114.842384,147.389999,7769.219238
2020-01-07,294.932495,114.277855,147.970001,8163.692383
2020-01-08,296.504364,113.522324,146.860001,8079.862793
2020-01-09,298.514893,113.920784,146.029999,7879.071289
2020-01-10,297.655853,114.933693,146.910004,8166.554199
2020-01-13,299.702881,114.585014,145.820007,8144.194336
2020-01-14,299.245972,115.174438,145.690002,8827.764648
2020-01-15,299.922180,115.938240,146.539993,8807.010742
2020-01-16,302.417053,115.572983,146.309998,8723.786133
2020-01-17,303.358429,114.585014,146.580002,8929.038086
2020-01-21,302.764404,115.788803,146.740005,8745.894531
2020-01-22,302.800934,116.195572,146.789993,8680.875977
2020-01-23,303.148102,117.009201,147.119995,8406.515625
2020-01-24,300.452179,117.955597,147.979996,8445.434570
2020-01-27,295.636200,119.790367,148.990005,8909.819336
2020-01-28,298.734192,118.852280,147.660004,9358.589844
2020-01-29,298.487427,120.014549,148.460007,9316.629883
2020-01-30,299.456146,120.031120,148.470001,9508.993164
2020-01-31,294.018707,121.127029,149.330002,9350.529297
2020-02-03,296.202698,121.028908,148.360001,9293.521484
2020-02-04,300.717346,119.398964,146.429993,9180.962891
2020-02-05,304.190002,118.093452,146.610001,9613.423828
2020-02-06,305.213531,118.625595,147.399994,9729.801758
2020-02-07,303.586761,120.105911,147.789993,9795.943359
2020-02-10,305.853210,120.438477,148.169998,9856.611328
2020-02-11,306.383240,119.831421,147.660004,10208.236328
2020-02-12,308.357208,119.224304,147.539993,10326.054688
2020-02-13,308.028259,119.681755,148.380005,10214.379883
2020-02-14,308.521729,120.205597,149.000000,10312.116211
2020-02-18,307.726624,121.028908,150.910004,10141.996094
2020-02-19,309.197968,121.020515,151.789993,9633.386719
2020-02-20,307.927704,121.968544,152.410004,9608.475586
2020-02-21,304.756622,123.107834,154.699997,9686.441406
2020-02-24,294.649261,124.945618,156.089996,9650.174805
2020-02-25,285.720764,125.610924,153.300003,9341.705078
2020-02-26,284.669800,124.945618,153.970001,8820.522461
2020-02-27,271.884735,126.301117,154.000000,8784.494141
2020-02-28,270.742523,129.153549,148.380005,8672.455078
2020-03-02,282.467407,128.203247,149.199997,8869.669922
2020-03-03,274.379608,130.193680,153.889999,8787.786133
2020-03-04,285.912628,128.811203,154.160004,8755.246094
2020-03-05,276.408356,132.017487,157.490005,9078.762695
2020-03-06,271.839081,138.888306,157.550003,9122.545898
2020-03-09,250.609940,142.652573,157.809998,7923.644531
2020-03-10,263.577698,135.340454,154.479996,7909.729492
2020-03-11,250.728653,130.360229,153.929993,7911.430176
2020-03-12,226.739700,131.168060,147.789993,4970.788086
2020-03-13,246.122849,128.203247,143.279999,5563.707031
2020-03-16,219.191162,136.506454,141.639999,5014.479980
2020-03-17,231.025726,127.403732,143.559998,5225.629395
